Property_Name,Location,Region,Property_Age,Availability,Area_Type,Area_SqFt,Rate_SqFt,Floor_No,Bedroom,Bathroom,Price_Lakh,USD
DGS Sheetal Deep Complex ,1000 Morya Nagar Mira Road And Beyond Mumbai,Mira Road,0 to 1 Year,Ready To Move,Super Built Up Area,595,4705,10,1,2,28,32941.17647
Ravi Gaurav Aster ,Kashimira Mira Road And Beyond Mumbai,Mira Road,5 to 10 Year,Ready To Move,Built Up Area,850,6000,2,2,2,51,60000
Grishma Enclave Chs ,Mira Road Mira Road And Beyond Mumbai,Mira Road,10+ Year,Ready To Move,Super Built Up Area,550,7363,3,1,2,40.5,47647.05882
Godrej Garden Enclave ,Vikhroli East Central Mumbai suburbs Mumbai,Central Mumbai,10+ Year,Ready To Move,Carpet Area,528,28409,15,1,2,150,176470.5882
SMGK Associate Residency ,Off S V Rd Near Agarwal Estate Jogeshwari West Mumbai,Jogeshwari Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,660,16666,14,1,2,110,129411.7647
Shanti Nagar Chs ,Shanti Nagar Mira Road And Beyond Mumbai,Mira Road,10+ Year,Ready To Move,Super Built Up Area,1000,12500,1,4,2,125,147058.8235
Shubham Jijai Angan ,Taloja Navi Mumbai Mumbai,Taloja Navi-Mumbai,0 to 1 Year,Ready To Move,Carpet Area,487,7597,3,1,2,37,43529.41176
N N Orchid Enclave ,Taloja Panchanand Navi Mumbai Mumbai,Taloja Navi-Mumbai,0 to 1 Year,Ready To Move,Built Up Area,500,4400,4,1,1,22,25882.35294
Amisha Empire ,Hatkesh Udhog Nagar Mira Road And Beyond Mumbai,Mira Road,1 to 5 Year,Ready To Move,Carpet Area,54.41,207706,9,2,2,113,132941.1765
Amisha Empire ,Hatkesh Udhog Nagar Mira Road And Beyond Mumbai,Mira Road,1 to 5 Year,Ready To Move,Carpet Area,35.17,217505,3,1,2,76.5,90000
Strawberry ONYX ,Mira Road East Mira Road And Beyond Mumbai,Mira Road,1 to 5 Year,Ready To Move,Super Built Up Area,925,9189,1,2,2,85,100000
Unnamed Property,Taloja Panchanand Navi Mumbai Mumbai,Taloja Navi-Mumbai,1 to 5 Year,Ready To Move,Built Up Area,670,6567,1,2,2,44,51764.70588
Nine Realcon Glorious Lifestyle ,102 Nalasopara West Mira Road And Beyond Mumbai,Mira Road,0 to 1 Year,Ready To Move,Super Built Up Area,680,4705,1,1,2,32,37647.05882
Unnamed Property,102 Nalasopara West Mira Road And Beyond Mumbai,Mira Road,0 to 1 Year,Ready To Move,Super Built Up Area,750,4866,1,1,2,36.5,42941.17647
Godrej The Trees ,Vikhroli East Central Mumbai suburbs Mumbai,Central Mumbai,1 to 5 Year,Ready To Move,Carpet Area,502,39840,2,1,1,200,235294.1176
Runwal Forests ,Kanjur marg west Central Mumbai suburbs Mumbai,Central Mumbai,0 to 1 Year,Ready To Move,Carpet Area,1030,29126,46,3,3,300,352941.1765
Runwal Forests ,Kanjur marg west Central Mumbai suburbs Mumbai,Central Mumbai,1 to 5 Year,Ready To Move,Carpet Area,471,25477,35,2,2,120,141176.4706
Om Sai Heights 2 ,410 Nalasopara West Mira Road And Beyond Mumbai,Mira Road,0 to 1 Year,Ready To Move,Super Built Up Area,600,5333,4,1,2,32,37647.05882
Shree Manibhadra Heights ,801 Nalasopara West Mira Road And Beyond Mumbai,Mira Road,0 to 1 Year,Ready To Move,Carpet Area,400,6125,8,1,2,24.5,28823.52941
Peninsula Celestia Spaces ,Parel Parel South Mumbai Mumbai,South Mumbai,0 to 1 Year,Ready To Move,Carpet Area,1468,38487,10,3,3,565,664705.8824
Unnamed Property,Chembur East Chembur East Mumbai Harbour Mumbai,Mumbai Harbour,0 to 1 Year,Ready To Move,Carpet Area,692,30202,10,2,2,209,245882.3529
Unnamed Property,Tridhaatu Morya Chembur East Mumbai Harbour Mumbai,Mumbai Harbour,0 to 1 Year,Ready To Move,Carpet Area,671,29657,10,2,2,199,234117.6471
Unnamed Property,Chembur East Chembur East Mumbai Harbour Mumbai,Mumbai Harbour,0 to 1 Year,Ready To Move,Carpet Area,646,30185,14,2,2,195,229411.7647
Unnamed Property,Chembur East Chembur East Mumbai Harbour Mumbai,Mumbai Harbour,0 to 1 Year,Ready To Move,Carpet Area,1363,30814,14,4,4,420,494117.6471
Veena Serenity ,Chembur East Chembur Mumbai Harbour Mumbai,Mumbai Harbour,0 to 1 Year,Ready To Move,Carpet Area,440,26363,7,1,2,116,136470.5882
Veena Serenity ,Chembur Chembur Mumbai Harbour Mumbai,Mumbai Harbour,0 to 1 Year,Ready To Move,Carpet Area,631,26148,7,2,2,165,194117.6471
Gurukrupa Marina Enclave ,Jankalyan Nagar Malad West Mumbai,Malad Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,1050,13238,17,2,2,139,163529.4118
Neelyog Veydaanta ,C 905 Ghatkopar West Central Mumbai suburbs Mumbai,Central Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,950,14315,9,2,2,136,160000
Nahar Yarrow Yucca Vinca ,Powai Central Mumbai suburbs Mumbai,Central Mumbai,10+ Year,Ready To Move,Carpet Area,1000,26500,15,3,2,265,311764.7059
Neelyog Veydaanta ,902 Ghatkopar West Central Mumbai suburbs Mumbai,Central Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,1150,12956,9,2,2,149,175294.1176
Acme Ozone ,Manpada Thane Mumbai,Manpada Thane,0 to 1 Year,Ready To Move,Carpet Area,712,18960,7,2,2,135,158823.5294
Acme Ozone ,Manpada Thane Mumbai,Manpada Thane,0 to 1 Year,Ready To Move,Carpet Area,1041,17291,12,3,3,180,211764.7059
Thanekar Park Land ,B 308 Badlapur East Mumbai Beyond Thane Mumbai,Badlapur Mumbai,1 to 5 Year,Ready To Move,Carpet Area,595,6218,3,2,2,37,43529.41176
Siddharth Geetanjali Sujay ,Sector 34 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1615,11455,18,3,3,185,217647.0588
Siddharth Geetanjali Sujay ,901 Sector 34 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1615,10835,9,3,3,175,205882.3529
Unnamed Property,Near Saisha Hotel Dahisar East Mumbai,Dahisar Mumbai,10+ Year,Ready To Move,Carpet Area,390,23076,1,1,2,90,105882.3529
Shiv Surbhi CHS ,Opposite To Gundecha Trillum Thakur Village Mumbai,Thakur Village,10+ Year,Ready To Move,Carpet Area,650,20000,3,2,2,130,152941.1765
Siddharth Geetanjali Heights ,701 Sector 35 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,5 to 10 Year,Ready To Move,Built Up Area,740,8918,5,1,2,66,77647.05882
Gajra Bhoomi Premium Tower ,Sector 34 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,5 to 10 Year,Ready To Move,Carpet Area,350,16000,11,1,1,56,65882.35294
Sai Yashvasin ,Middle Sector 27 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1215,9876,4,2,2,120,141176.4706
Choice Ambe Smruti ,302 Rasayani Navi Mumbai Mumbai,Rasayani Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1016,4133,4,2,2,42,49411.76471
Choice Ambe Smruti ,Rasayani Navi Mumbai Mumbai,Rasayani Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,640,4375,2,1,2,28,32941.17647
Unnamed Property,201 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,0 to 1 Year,Ready To Move,Carpet Area,750,7200,2,1,1,54,63529.41176
Unnamed Property,Dombivli East Thane Mumbai,Dombivli Thane,1 to 5 Year,Ready To Move,Carpet Area,636,7075,4,2,2,45,52941.17647
Unnamed Property,Dombivli East Thane Mumbai,Dombivli Thane,1 to 5 Year,Ready To Move,Carpet Area,636,7389,10,2,2,47,55294.11765
Tharwani Vedant Nakshatra ,Hendre Pada Mumbai Beyond Thane Mumbai,Mumbai Thane,1 to 5 Year,Ready To Move,Built Up Area,714,3641,4,1,2,26,30588.23529
Unnamed Property,604 Dombivli East Thane Mumbai,Dombivli Thane,1 to 5 Year,Ready To Move,Built Up Area,729,5075,6,1,1,37,43529.41176
Sumukha ,Middle Floor Sector 35I Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,10+ Year,Ready To Move,Super Built Up Area,1116,8064,7,2,2,90,105882.3529
Nisarg Hyde Park ,Lower Sector 35G Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1550,10967,1,3,3,170,200000
AO f Residences ,Malad East Mumbai,Malad Mumbai,0 to 1 Year,Ready To Move,Carpet Area,1074,27001,31,3,3,290,341176.4706
AO f Residences ,Malad East Mumbai,Malad Mumbai,0 to 1 Year,Ready To Move,Carpet Area,729,26063,31,2,2,190,223529.4118
Paradise Sai Jewel ,Lower Floor Sector 35I Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,10+ Year,Ready To Move,Super Built Up Area,1240,8870,2,2,2,110,129411.7647
BKS Galaxy ,Sector 35I Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1600,5625,4,2,2,90,105882.3529
Unnamed Property,Higher Floor Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,10+ Year,Ready To Move,Super Built Up Area,1150,8695,16,2,2,100,117647.0588
Giriraj Horizon ,Higher Sector 20 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,10+ Year,Ready To Move,Super Built Up Area,1507,9953,5,3,3,150,176470.5882
Fortune Heights ,Middle Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,10+ Year,Ready To Move,Super Built Up Area,1045,8421,5,2,2,88,103529.4118
Paradise Sai Harmony ,Ulwe Navi Mumbai Sector 21 Ulwe Navi Mumbai Mumbai,Ulwe Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1195,6359,4,2,2,76,89411.76471
Unnamed Property,Sector 36 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,1 to 5 Year,Ready To Move,Carpet Area,340,10294,3,1,1,35,41176.47059
RNA NG Grand Plaza ,Ghansoli Navi Mumbai Mumbai,Ghansoli Navi-Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,1299,12779,5,2,2,166,195294.1176
Unnamed Property,Mahavir Nagar Mumbai,Mahavir Nagar,5 to 10 Year,Ready To Move,Carpet Area,425,25176,6,1,2,107,125882.3529
Unnamed Property,Sector36 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,1 to 5 Year,Ready To Move,Carpet Area,350,10285,3,1,1,36,42352.94118
Unnamed Property,Ghansoli Navi Mumbai Mumbai,Ghansoli Navi-Mumbai,1 to 5 Year,Ready To Move,Carpet Area,999,26626,37,3,3,266,312941.1765
Gurukrupa Aramus Complex ,1005 Ulwe Navi Mumbai Mumbai,Ulwe Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,688,7848,10,1,2,54,63529.41176
Unnamed Property,201 Kharvai Mumbai Beyond Thane Mumbai,Mumbai Thane,0 to 1 Year,Ready To Move,Built Up Area,645,3720,2,1,2,24,28235.29412
AO f Residences ,Malad East Mumbai,Malad Mumbai,0 to 1 Year,Ready To Move,Carpet Area,1074.3,26063,20,3,3,280,329411.7647
One Hiranandani Park ,Fairway Hiranandani Estate Thane Mumbai,Hiranandani Thane,1 to 5 Year,Ready To Move,Carpet Area,559,28622,15,2,2,160,188235.2941
Hiranandani Lavinia ,Hiranandani Estate Thane Mumbai,Hiranandani Thane,1 to 5 Year,Ready To Move,Carpet Area,500,19000,12,2,2,95,111764.7059
Unnamed Property,1401 Hiranandani Estate Thane Mumbai,Hiranandani Thane,1 to 5 Year,Ready To Move,Carpet Area,420,20952,0,1,2,88,103529.4118
Gokuldham Complex ,Goregaon East Mumbai,Goregaon Mumbai,10+ Year,Ready To Move,Carpet Area,380,23684,0,1,1,90,105882.3529
K Raheja Heights ,Malad East Mumbai,Malad Mumbai,5 to 10 Year,Ready To Move,Carpet Area,719,26425,3,2,2,190,223529.4118
Unnamed Property,Goregaon East Mumbai,Goregaon Mumbai,10+ Year,Ready To Move,Carpet Area,380,23157,1,1,1,88,103529.4118
Rashmi Pride C ,304 Mira Road Mira Road And Beyond Mumbai,Mira Road,10+ Year,Ready To Move,Super Built Up Area,1050,10476,4,3,2,110,129411.7647
SD Alpine ,2702 Kandivali East Mumbai,Kandivali Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1075,30322,27,2,2,235,276470.5882
SD Alpine ,Kandivali East Mumbai,Kandivali Mumbai,1 to 5 Year,Ready To Move,Carpet Area,775,30967,31,2,2,240,282352.9412
SD Alpine ,Kandivali East Mumbai,Kandivali Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1209,20264,32,2,2,245,288235.2941
SD Epsilon Tower ,Thakur Village Mumbai,Thakur Village,1 to 5 Year,Ready To Move,Super Built Up Area,1300,26153,31,3,3,340,400000
Raj Rudraksha ,502 Dahisar East Mumbai,Dahisar Mumbai,0 to 1 Year,Ready To Move,Carpet Area,623,19101,5,2,2,119,140000
Unnamed Property,Thane West Thane Mumbai,Thane,1 to 5 Year,Ready To Move,Super Built Up Area,1025,8487,6,2,2,87,102352.9412
Evershine Woods ,Mira Road East Mira Road And Beyond Mumbai,Mira Road,5 to 10 Year,Ready To Move,Super Built Up Area,1310,7633,6,3,2,100,117647.0588
Unnamed Property,303 Sector 11 Koparkhairane Navi Mumbai Mumbai,Koparkhairane Navi-Mumbai,10+ Year,Ready To Move,Super Built Up Area,1500,13933,3,3,3,209,245882.3529
Unnamed Property,Sector 15 Koparkhairane Navi Mumbai Mumbai,Koparkhairane Navi-Mumbai,10+ Year,Ready To Move,Super Built Up Area,1000,10500,2,2,2,105,123529.4118
Unnamed Property,202 Sector 11 Koparkhairane Navi Mumbai Mumbai,Koparkhairane Navi-Mumbai,10+ Year,Ready To Move,Super Built Up Area,1100,14545,2,2,2,160,188235.2941
Vinayak Garden ,Dombivli East Thane Mumbai,Dombivli Thane,0 to 1 Year,Ready To Move,Built Up Area,400,4800,3,1,1,19.2,22588.23529
Vinayak Garden ,Dombivli East Thane Mumbai,Dombivli Thane,0 to 1 Year,Ready To Move,Built Up Area,405,4740,2,1,1,19.2,22588.23529
Vinayak Garden ,Dombivli East Thane Mumbai,Dombivli Thane,0 to 1 Year,Ready To Move,Built Up Area,400,4750,3,1,1,19,22352.94118
Vinayak Garden ,Dombivli East Thane Mumbai,Dombivli Thane,0 to 1 Year,Ready To Move,Super Built Up Area,860,4767,4,2,2,41,48235.29412
Vinayak Garden ,Dombivli East Thane Mumbai,Dombivli Thane,0 to 1 Year,Ready To Move,Built Up Area,401,4785,1,1,1,19.2,22588.23529
NG Tivoli ,Mira Road East Mira Road And Beyond Mumbai,Mira Road,0 to 1 Year,Ready To Move,Super Built Up Area,690,10869,10,1,1,75,88235.29412
GNC Surabhi Complex ,Mira Bhayandar Mira Road And Beyond Mumbai,Mira Road,5 to 10 Year,Ready To Move,Super Built Up Area,450,11777,3,1,1,53,62352.94118
Manibhadra CHS ,Sector 16 Koparkhairane Navi Mumbai Mumbai,Koparkhairane Navi-Mumbai,10+ Year,Ready To Move,Super Built Up Area,900,9444,2,2,2,85,100000
Space Ashley Gardens ,Mira Road Mira Road And Beyond Mumbai,Mira Road,5 to 10 Year,Ready To Move,Super Built Up Area,965,11398,1,2,2,110,129411.7647
Unnamed Property,IC Colony Mumbai,Borivali Mumbai,0 to 1 Year,Ready To Move,Carpet Area,606,30858,1,2,2,187,220000
Mallhar Bhimashankar Heights ,Kandarpada Mumbai,Kandarpada Mumbai,0 to 1 Year,Ready To Move,Carpet Area,995,26030,18,3,3,259,304705.8824
Mallhar Bhimashankar Heights ,Kandarpada Mumbai,Kandarpada Mumbai,0 to 1 Year,Ready To Move,Carpet Area,995,23618,3,3,3,235,276470.5882
Paradise Sai Crystals ,810 Sector 35 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1225,8979,7,2,2,110,129411.7647
Paradise Sai Crystals ,170 Sector 35 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1710,10526,21,3,3,180,211764.7059
Paradise Sai Miracle ,123 Sector 35E Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1225,11020,27,2,2,135,158823.5294
Westin Eksar Gurukripa CHSL ,101 Borivali West Mumbai,Borivali Mumbai,0 to 1 Year,Ready To Move,Carpet Area,611,31914,12,2,2,195,229411.7647
Unnamed Property,000 Borivali West Mumbai,Borivali Mumbai,5 to 10 Year,Ready To Move,Carpet Area,400,25500,1,1,1,102,120000
Omkar Alta Monte ,Omkar Alta Monte Malad East Malad East Mumbai,Malad Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,1750,24193,6,3,3,300,352941.1765
Sanyam Ashok Odyssey ,Ghatkopar West Central Mumbai suburbs Mumbai,Central Mumbai,0 to 1 Year,Ready To Move,Carpet Area,486,27983,1,1,2,136,160000
Sanyam Ashok Odyssey ,Ghatkopar West Central Mumbai suburbs Mumbai,Central Mumbai,0 to 1 Year,Ready To Move,Carpet Area,642,26635,1,2,2,171,201176.4706
Paradise Sai Wonder ,810 Sector 35I Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1120,9821,9,2,2,110,129411.7647
Unnamed Property,Khardi Mumbai Beyond Thane Mumbai,Mumbai Thane,10+ Year,Ready To Move,Plot Area,8500,1752,2,3,3,149,175294.1176
Vighnahar Complex ,Kharghar Sector 12 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1025,11707,3,2,2,120,141176.4706
Rushabhdev Omkar Heights ,Kharghar Sector 35E Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1150,7826,14,2,2,90,105882.3529
Juhi Niharika Residency ,Kharghar Sector 34B Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1070,8878,5,2,2,95,111764.7059
Haware Splendor ,100 Sector 20 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,650,10461,1,1,1,68,80000
Unnamed Property,Sanpada Navi Mumbai Mumbai,Sanpada Navi-Mumbai,10+ Year,Ready To Move,Super Built Up Area,800,16250,6,2,2,130,152941.1765
Kohinoor City Mumbai ,kurla west Central Mumbai suburbs Mumbai,Central Mumbai,10+ Year,Ready To Move,Super Built Up Area,1050,20952,4,2,2,220,258823.5294
Unnamed Property,Vashi Sector 10 Vashi Navi Mumbai Mumbai,Vashi Navi-Mumbai,10+ Year,Ready To Move,Built Up Area,550,12363,1,1,1,68,80000
Kohinoor City Mumbai ,kurla west Central Mumbai suburbs Mumbai,Central Mumbai,10+ Year,Ready To Move,Super Built Up Area,1650,22727,6,3,3,250,294117.6471
Agarwal Lifestyle ,Global City Virar West Mira Road And Beyond Mumbai,Mira Road,1 to 5 Year,Ready To Move,Super Built Up Area,955,5350,7,2,2,51.1,60117.64706
Laxmi Avenue D Global City ,Global City Virar West Mira Road And Beyond Mumbai,Mira Road,1 to 5 Year,Ready To Move,Super Built Up Area,825,4127,3,2,2,34,40000
Sumit Greendale ,Global City Virar West Mira Road And Beyond Mumbai,Mira Road,1 to 5 Year,Ready To Move,Super Built Up Area,630,4857,2,1,2,30.6,36000
Mathuresh Krupa ,Global City Virar West Mira Road And Beyond Mumbai,Mira Road,1 to 5 Year,Ready To Move,Super Built Up Area,615,4351,5,1,1,26.8,31529.41176
Laxmi Avenue D Global City ,Global City Virar West Mira Road And Beyond Mumbai,Mira Road,1 to 5 Year,Ready To Move,Super Built Up Area,825,4130,2,2,2,34.1,40117.64706
Unnamed Property,Global City Chikhal Dongari Mira Road And Beyond Mumbai,Mira Road,1 to 5 Year,Ready To Move,Super Built Up Area,830,4228,10,2,2,35.1,41294.11765
Goodwill Paradise ,Kharghar Sector 15 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1720,11627,6,3,3,200,235294.1176
Goodwill Paradise ,Kharghar Sector 15 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1251,11191,6,2,2,140,164705.8824
Suman Dabas Jitendra Tower ,100 Sector 18 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,640,8125,5,1,1,52,61176.47059
Sai Yashaskaram ,Kharghar Sector 27 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1150,11739,18,2,2,135,158823.5294
Unnamed Property,100 Sector 19 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,5 to 10 Year,Ready To Move,Built Up Area,650,8461,1,1,1,55,64705.88235
Sai Manomay ,Navi Mumbai Sector 35 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1060,10377,10,2,2,110,129411.7647
Sai Manomay ,Navi Mumbai Sector 35 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1489,10073,13,3,3,150,176470.5882
Unnamed Property,Sector 4A Koparkhairane Navi Mumbai Mumbai,Koparkhairane Navi-Mumbai,5 to 10 Year,Ready To Move,Carpet Area,800,16875,5,2,2,135,158823.5294
Sai Chitra Apartment ,Near Turzon Point Sector 8 Charkop Mumbai,Charkop Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,661,13010,6,1,2,86,101176.4706
Bindiya CHS ,Sector 7 Koparkhairane Navi Mumbai Mumbai,Koparkhairane Navi-Mumbai,10+ Year,Ready To Move,Carpet Area,700,17142,3,2,2,120,141176.4706
Unnamed Property,Sector 7 Koparkhairane Navi Mumbai Mumbai,Koparkhairane Navi-Mumbai,10+ Year,Ready To Move,Carpet Area,725,16000,2,2,2,116,136470.5882
Unnamed Property,Sector 7 Koparkhairane Navi Mumbai Mumbai,Koparkhairane Navi-Mumbai,5 to 10 Year,Ready To Move,Carpet Area,690,13623,1,2,2,94,110588.2353
Sumit Greendale ,Global City Virar West Mira Road And Beyond Mumbai,Mira Road,1 to 5 Year,Ready To Move,Super Built Up Area,825,4448,0,2,2,36.7,43176.47059
Mathuresh Krupa ,Global City Virar West Mira Road And Beyond Mumbai,Mira Road,1 to 5 Year,Ready To Move,Super Built Up Area,615,4146,0,1,1,25.5,30000
Raunak City 2 ,Kalyan West Mumbai Beyond Thane Mumbai,Kalyan Thane,1 to 5 Year,Ready To Move,Super Built Up Area,590,5345,1,1,1,32,37647.05882
Raunak City 4 ,Kalyan West Mumbai Beyond Thane Mumbai,Kalyan Thane,1 to 5 Year,Ready To Move,Super Built Up Area,600,5500,4,1,1,33,38823.52941
Raunak City 3 ,Adharwadi Kalyan West Kalyan West Mumbai Beyond Thane Mumbai,Adharwadi Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,645,5116,3,1,1,33.5,39411.76471
Sai Siddhi Apartment ,Sector 8 Charkop Mumbai,Charkop Mumbai,10+ Year,Ready To Move,Carpet Area,620,19354,3,2,2,120,141176.4706
Unnamed Property,Turzon Point Sector 8 Charkop Mumbai,Point Charkop,10+ Year,Ready To Move,Carpet Area,645,18604,2,2,2,120,141176.4706
Lodha Palava Trinity ,Lodha Lakeshore Green Khoni Mumbai Beyond Thane Mumbai,Thane,0 to 1 Year,Ready To Move,Carpet Area,1160,10775,9,3,3,125,147058.8235
NMS Moreshwar Plaza ,Sector 29 Nerul Sector 29 Nerul Navi Mumbai Mumbai,Nerul Navi-Mumbai,1 to 5 Year,Ready To Move,Built Up Area,1150,12608,4,2,2,145,170588.2353
Unnamed Property,Sector 20 Koparkhairane Navi Mumbai Mumbai,Koparkhairane Navi-Mumbai,10+ Year,Ready To Move,Carpet Area,710,17605,4,2,2,125,147058.8235
Swaraj Planet ,Koparkhairane Navi Mumbai Mumbai,Koparkhairane Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1082,9704,4,2,2,105,123529.4118
Raunak City 4 ,Adharwadi Near Don Bosco School Kalyan West Mumbai Beyond Thane Mumbai,Adharwadi Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,911,5599,17,2,2,55,64705.88235
Progressive Pearl ,Sector 4A Koparkhairane Navi Mumbai Mumbai,Koparkhairane Navi-Mumbai,5 to 10 Year,Ready To Move,Carpet Area,575,15652,5,2,2,90,105882.3529
Unnamed Property,Vakola Mumbai South West Mumbai,South Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1051,22359,9,2,2,235,276470.5882
Unnamed Property,Prabhat Colony Mumbai South West Mumbai,South Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,845,23313,1,2,2,197,231764.7059
Unnamed Property,Prabhat Colony Mumbai South West Mumbai,South Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,1064,23496,5,2,2,250,294117.6471
Unnamed Property,Santacruz East Mumbai South West Mumbai,Santacruz Mumbai,10+ Year,Ready To Move,Super Built Up Area,827,13301,2,1,1,110,129411.7647
Primus Residences ,Santacruz East Mumbai South West Mumbai,Santacruz Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1108,24368,12,2,2,270,317647.0588
Unnamed Property,Santacruz East Mumbai South West Mumbai,Santacruz Mumbai,10+ Year,Ready To Move,Super Built Up Area,568,16197,5,1,1,92,108235.2941
Unnamed Property,Prabhat Colony Mumbai South West Mumbai,South Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,1132,19876,7,2,2,225,264705.8824
Shivalik Tower ,Opposite Express Highway Kandivali East Mumbai,Kandivali Mumbai,10+ Year,Ready To Move,Carpet Area,1050,21428,12,2,2,225,264705.8824
Chandiwala Pearl Heights ,Yagna Nagar Mumbai,Yagna Nagar,10+ Year,Ready To Move,Carpet Area,750,28533,9,2,2,214,251764.7059
Unnamed Property,Versova Mumbai,Versova Mumbai,10+ Year,Ready To Move,Carpet Area,750,27333,9,2,2,205,241176.4706
Chandiwala Pearl Heights ,Yagna Nagar Mumbai,Yagna Nagar,10+ Year,Ready To Move,Carpet Area,750,28666,9,2,2,215,252941.1765
Unnamed Property,000 Malad West Mumbai,Malad Mumbai,1 to 5 Year,Ready To Move,Carpet Area,1117,41181,23,3,3,460,541176.4706
Kanakia Hollywood ,Versova Mumbai,Versova Mumbai,1 to 5 Year,Ready To Move,Carpet Area,720,39583,11,2,2,285,335294.1176
Vinay Unique Imperia ,Virar West Mira Road And Beyond Mumbai,Mira Road,1 to 5 Year,Ready To Move,Super Built Up Area,700,3714,6,1,2,26,30588.23529
Bindra Complex ,101 Andheri East Mumbai,Andheri Mumbai,0 to 1 Year,Ready To Move,Carpet Area,610,25409,1,2,2,155,182352.9412
Bindra Complex ,102 Andheri East Mumbai,Andheri Mumbai,0 to 1 Year,Ready To Move,Carpet Area,400,25000,10,1,2,100,117647.0588
Unnamed Property,Versova Mumbai,Versova Mumbai,10+ Year,Ready To Move,Carpet Area,750,29333,4,2,2,220,258823.5294
Unnamed Property,302 Andheri East Mumbai,Andheri Mumbai,5 to 10 Year,Ready To Move,Carpet Area,450,24444,4,1,2,110,129411.7647
